      0.155     98.960     97.742     96.586     95.490     94.448     93.458     92.517     91.622     90.770     89.959   -195.705   -193.566   -191.511   -189.538   -187.641   -185.818   -184.064   -182.376   -180.751   -179.187     78.809     77.871     76.972     76.112     75.287     74.497     73.738     73.011     72.313     71.643 
      0.168    105.983    104.674    103.432    102.254    101.134    100.070     99.058     98.096     97.180     96.307   -209.120   -206.834   -204.639   -202.530   -200.503   -198.554   -196.679   -194.876   -193.140   -191.468     84.170     83.165     82.202     81.280     80.396     79.549     78.736     77.957     77.208     76.490 
      0.180    112.215    110.825    109.507    108.255    107.066    105.937    104.862    103.840    102.867    101.940   -220.901   -218.486   -216.167   -213.939   -211.798   -209.739   -207.759   -205.853   -204.019   -202.253     88.860     87.796     86.777     85.801     84.866     83.969     83.109     82.284     81.492     80.731 
      0.191    117.674    116.214    114.828    113.513    112.264    111.077    109.947    108.873    107.850    106.876   -231.155   -228.628   -226.201   -223.869   -221.628   -219.474   -217.401   -215.407   -213.488   -211.640     92.936     91.821     90.754     89.731     88.751     87.812     86.910     86.046     85.216     84.418 
      0.201    122.147    120.628    119.187    117.819    116.520    115.285    114.110    112.992    111.928    110.914   -239.297   -236.680   -234.168   -231.754   -229.434   -227.203   -225.058   -222.993   -221.006   -219.093     96.164     95.009     93.903     92.843     91.827     90.853     89.919     89.023     88.162     87.336 
      0.210    125.424    123.861    122.378    120.971    119.634    118.363    117.154    116.003    114.908    113.865   -244.957   -242.278   -239.706   -237.235   -234.860   -232.577   -230.381   -228.267   -226.233   -224.275     98.420     97.236     96.102     95.016     93.975     92.977     92.019     91.100     90.218     89.371 
      0.215    127.633    126.057    124.562    123.143    121.795    120.513    119.295    118.136    117.032    115.981   -252.144   -249.384   -246.734   -244.188   -241.741   -239.388   -237.125   -234.948   -232.852   -230.834    100.085     98.886     97.738     96.638     95.584     94.573     93.604     92.674     91.781     90.924 
      0.224    132.000    130.379    128.841    127.382    125.996    124.678    123.426    122.235    121.101    120.021   -260.613   -257.761   -255.022   -252.391   -249.862   -247.430   -245.092   -242.842   -240.676   -238.590    103.539    102.306    101.126     99.996     98.913     97.874     96.879     95.923     95.007     94.127 
      0.238    138.940    137.244    135.636    134.110    132.661    131.285    129.976    128.732    127.547    126.420   -273.982   -270.984   -268.106   -265.340   -262.682   -260.126   -257.668   -255.303   -253.027   -250.834    109.022    107.734    106.501    105.321    104.189    103.105    102.066    101.069    100.112     99.194 
      0.257    147.767    145.974    144.273    142.660    141.129    139.674    138.292    136.977    135.727    134.536   -290.817   -287.636   -284.581   -281.646   -278.825   -276.113   -273.505   -270.995   -268.579   -266.252    115.909    114.550    113.249    112.003    110.810    109.667    108.571    107.520    106.511    105.544 
