      0.193     -6.039     -2.955     -0.022      2.769      5.428      7.962     10.378     12.684     14.886     16.989     16.989     12.456      8.104      3.922     -0.097     -3.961     -7.678    -11.253    -14.695    -18.009    -18.009    -15.686    -13.457    -11.316     -9.259     -7.282     -5.382     -3.553     -1.794     -0.100 
      0.209     -0.132      3.079      6.132      9.038     11.805     14.443     16.958     19.359     21.650     23.840     23.840     18.231     12.844      7.669      2.696     -2.086     -6.685    -11.110    -15.369    -19.470    -19.470    -16.957    -14.545    -12.229    -10.005     -7.867     -5.811     -3.834     -1.932     -0.100 
      0.222     -9.237     -5.775     -2.484      0.648      3.630      6.472      9.181     11.766     14.233     16.590     16.590     11.883      7.362      3.020     -1.154     -5.166     -9.025    -12.739    -16.313    -19.755    -19.755    -17.203    -14.755    -12.405    -10.148     -7.979     -5.893     -3.887     -1.958     -0.100 
      0.227     -7.973     -4.489     -1.175      1.978      4.980      7.841     10.569     13.172     15.656     18.029     18.029     13.096      8.359      3.808     -0.566     -4.771     -8.816    -12.708    -16.454    -20.061    -20.061    -17.470    -14.984    -12.597    -10.305     -8.102     -5.984     -3.947     -1.987     -0.100 
      0.236    -14.526    -10.732     -7.125     -3.692     -0.424      2.691      5.660      8.493     11.198     13.781     13.781      9.268      4.935      0.772     -3.229     -7.076    -10.776    -14.335    -17.762    -21.061    -21.061    -18.341    -15.730    -13.224    -10.817     -8.503     -6.279     -4.140     -2.081     -0.100 
    455.000    340.000    344.444    348.889    353.333    357.778    362.222    366.667    371.111    375.556    380.000    380.000    383.889    387.778    391.667    395.556    399.444    403.333    407.222    411.111    415.000    415.000    419.444    423.889    428.333    432.778    437.222    441.667    446.111    450.556    455.000 
      0.005     -1.411     -1.282     -1.159     -1.043     -0.932     -0.826     -0.726     -0.630     -0.538     -0.451     -0.451     -0.486     -0.520     -0.553     -0.584     -0.615     -0.644     -0.672     -0.699     -0.725     -0.725     -0.644     -0.566     -0.491     -0.419     -0.350     -0.284     -0.220     -0.159     -0.100 
      0.014     -8.089     -7.605     -7.145     -6.707     -6.291     -5.894     -5.516     -5.155     -4.811     -4.482     -4.482     -4.165     -3.860     -3.568     -3.287     -3.017     -2.757     -2.506     -2.266     -2.034     -2.034     -1.783     -1.542     -1.311     -1.089     -0.875     -0.670     -0.473     -0.283     -0.100 
      0.028     -3.504     -2.921     -2.365     -1.837     -1.334     -0.854     -0.396      0.041      0.458      0.857      0.857      0.319     -0.198     -0.694     -1.171     -1.629     -2.070     -2.495     -2.903     -3.297     -3.297     -2.882     -2.485     -2.103     -1.736     -1.383     -1.044     -0.717     -0.403     -0.100 
      0.047     -9.472     -8.409     -7.398     -6.436     -5.519     -4.645     -3.811     -3.016     -2.256     -1.530     -1.530     -2.045     -2.539     -3.014     -3.470     -3.909     -4.331     -4.737     -5.128     -5.504     -5.504     -4.804     -4.132     -3.486     -2.866     -2.269     -1.696     -1.143     -0.612     -0.100 
      0.068     -5.230     -3.961     -2.753     -1.604     -0.508      0.537      1.534      2.485      3.395      4.264      4.264      2.760      1.315     -0.073     -1.407     -2.690     -3.923     -5.110     -6.253     -7.353     -7.353     -6.414     -5.512     -4.646     -3.813     -3.013     -2.242     -1.501     -0.788     -0.100 
      0.089     -0.303      1.151      2.535      3.854      5.110      6.308      7.452      8.544      9.588     10.586     10.586      8.034      5.584      3.230      0.968     -1.208     -3.300     -5.313     -7.250     -9.116     -9.116     -7.949     -6.828     -5.751     -4.716     -3.721     -2.763     -1.842     -0.955     -0.100 
      0.108     -5.917     -3.986     -2.149     -0.400      1.266      2.855      4.371      5.818      7.200      8.522      8.522      5.951      3.483      1.112     -1.167     -3.359     -5.466     -7.494     -9.446    -11.325    -11.325     -9.871     -8.475     -7.134     -5.845     -4.606     -3.415     -2.268     -1.163     -0.100 
      0.126     -0.393      1.655      3.603      5.458      7.226      8.911     10.519     12.054     13.521     14.922     14.922     11.355      7.929      4.638      1.475     -1.566     -4.491     -7.305    -10.014    -12.622    -12.622    -11.000     -9.442     -7.946     -6.508     -5.126     -3.796     -2.517     -1.286     -0.100 
      0.141     -9.694     -7.167     -4.763     -2.475     -0.296      1.781      3.761      5.652      7.457      9.181      9.181      6.126      3.193      0.375     -2.334     -4.938     -7.443     -9.853    -12.172    -14.406    -14.406    -12.551    -10.770     -9.060     -7.418     -5.839     -4.320     -2.859     -1.454     -0.100 
      0.155     -3.999     -1.472      0.932      3.220      5.399      7.476      9.456     11.345     13.150     14.874     14.874     11.017      7.314      3.756      0.337     -2.951     -6.113     -9.156    -12.084    -14.904    -14.904    -12.983    -11.140     -9.370     -7.670     -6.036     -4.465     -2.954     -1.500     -0.100 
      0.168    -12.698     -9.739     -6.926     -4.248     -1.699      0.730      3.045      5.255      7.363      9.378      9.378      6.019      2.794     -0.304     -3.281     -6.144     -8.898    -11.548    -14.098    -16.553    -16.553    -14.418    -12.369    -10.401     -8.511     -6.695     -4.950     -3.271     -1.655     -0.100 
      0.180     -7.085     -4.136     -1.332      1.336      3.876      6.296      8.604     10.805     12.905     14.912     14.912     10.778      6.808      2.994     -0.672     -4.196     -7.586    -10.848    -13.987    -17.010    -17.010    -14.815    -12.708    -10.686     -8.743     -6.877     -5.083     -3.357     -1.698     -0.100 
      0.191     -0.272      2.739      5.602      8.327     10.921     13.392     15.748     17.996     20.141     22.190     22.190     16.956     11.930      7.102      2.461     -2.001     -6.293    -10.422    -14.397    -18.224    -18.224    -15.870    -13.612    -11.445     -9.363     -7.362     -5.440     -3.591     -1.812     -0.100 
